ranking_posicion;empresa;nit;departamento;ciudad;contacto;email;telefono;modalidad;vacantes;postulados;competencia_ratio;cat_badge;puntaje_exito;escalabilidad_score;reputacion_rating;apoyo_sostenimiento;salario_egresado_jr;techo_salarial_5anios;fecha_cierre
72;VC@SOFT S A S;830086348;Bogota D.C.;Bogota D. C.;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
73;QUIRONPREVENCION COLOMBIA S.A.S;900592369;Bogota D.C.;Bogota D. C.;Yolima Morales Riaño;seleccionqpcol@quironprevencion.com;3785995;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);12/09/2026
74;SAP COLOMBIA SAS-SAP SAS;900320612;Bogota D.C.;Bogota D. C.;Lorena Cardenas;lorena.cardenas@sap.com;571600-3000;Presencial / No especificado;5;20;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/12/2026
75;VC@SOFT S A S;830086348;Risaralda;Pereira;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
76;VC@SOFT S A S;830086348;Cundinamarca;Girardot;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/11/2026
77;OUTSOURCING SERVICIOS INFORMÁTICOS S.A.S. BIC - OUTSOURCING S.A.S. BIC;800211401;Bogota D.C.;Bogota D. C.;claudia mendoza;claudiamendozar4@outsourcing.com.co;6000222;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;87;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);18/09/2026
78;AXITY COLOMBIA SOCIEDAD POR ACCIONES SIMPLIFICADA -AXITY COLOMBIA SAS;830055791;Bogota D.C.;Bogota D. C.;0;0;0;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
79;ABAI COLOMBIA S.A.S.;901367214;Caldas;Manizales;YENSI VIVIANA MARTINEZ ROZO;yensi.martinez@abaigroup.com;3175164426;Presencial / No especificado;2;9;4.5;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);15/09/2026
80;FUNDACION EDUCATIVA DE INGLATERRA;860023814;Bogota D.C.;Bogota D. C.;Leidy Espinel;humresourcesintern@englishschool.edu.co;3150541394;Presencial / No especificado;3;14;4.67;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
81;FUNDACIÓN UNIVERSITARIA NAVARRA-UNINAVARRA;900480042;Huila;Neiva;STEFFY DAYANA BONILLA;seleccion@uninavarra.edu.co;3154969908;Presencial / No especificado;1;5;5.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/08/2026
82;TABASCO OC, LLC. SUCURSAL COLOMBIA;900375325;Cundinamarca;Fusagasuga;YUDI ESCOBAR;y.escobar@tabascooc.com;3232396691;Presencial / No especificado;1;5;5.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);07/09/2026
83;OVALLE AVILA & COMPANIA S.A.S.;802002114;Cesar;Agustin Codazzi;juan ovalle;contabilidad.empresasbaq@gmail.com;3106305543;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
84;ABAI COLOMBIA S.A.S.;901367214;Santander;Bucaramanga;YENSI VIVIANA MARTINEZ ROZO;yensi.martinez@abaigroup.com;3175164426;Presencial / No especificado;2;12;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);15/10/2026
85;EL FONDO DE EMPLEADOS DE LA CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO CUYA SIGLA SERA FEC;860534049;Bogota D.C.;Bogota D. C.;María Fernanda Madero;analista.rh@fecolsubsidio.com;315 967 2514;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);07/09/2026
86;TAMBOURINE COLOMBIA HOLDINGS SUCURSAL COLOMBIA;901511917;Bogota D.C.;Bogota D. C.;Oscar Lara;mariafernanda.mateus@tambourine.com;3113477642;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);11/09/2026
87;FINESA SERVICIOS S.A.S.;901525733;Valle;Cali;Leslie Corredor;hojasdevida@finesa.com.co;3154949171;Presencial / No especificado;2;12;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/09/2026
88;APREHSI GROUP S.A.S;900033859;Cesar;Valledupar;MARIA ORDOÑEZ;reclutamientoyseleccion@aprehsigroup.com;3015531886;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/09/2026
89;JOTA MUNDIAL S.A.S;901056749;Risaralda;Dos Quebrada;Natalia Gonzáles;talentohumano@jotamundial;3176848812;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
90;FINCA URBANA PETS S.A.S;901250706;Antioquia;Medellin;Yolima;rh@fincaurbana.pet;3046267777;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);12/09/2026
91;RADAR S.A.S.;900413219;Bolivar;Cartagena;Aris Laura Lopez Taborda;aris.lopez@inducascos.com;3166884172;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);14/09/2026
92;WM WIRELESS & MOBILE SAS;800083486;Bogota D.C.;Bogota D. C.;Marisol Mora;mmora@wi-mobile.com;3164735513;Presencial / No especificado;2;14;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
93;TRANSPORTADORA DE VALORES ATLAS LTDA;890322294;Cundinamarca;Soacha;ADRIANA SANTOS;asantosz@atlastransvalores.com.co;3227662519;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);09/09/2026
94;AHUMADOS TOTO S.A.S.;900177158;Antioquia;Medellin;3146541043;talentohumano@ahumadostoto.co;3146541043;Presencial / No especificado;2;15;7.5;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
95;KEO COLOMBIA S.A.S.;901386833;Bogota D.C.;Bogota D. C.;LAURA CASTAÑEDA;laura.castaneda@k-lab.ai;3156001495;Presencial / No especificado;1;8;8.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
96;MICRO TALENT S.A.S.;901414033;Antioquia;Medellin;Miguel González;mgonzalez@micro-talent.net;3223054708;Presencial / No especificado;1;8;8.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);13/09/2026
97;BANCO FALABELLA S A;900047981;Bogota D.C.;Bogota D. C.;ALEJANDRA;mrodriguezni@falabella.com.co;3223417216;Presencial / No especificado;3;27;9.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
98;PUNTONET INSUPERABLE SAS;900868612;Huila;Neiva;OSCAR QUINTERO;recursoshumanos@puntonetinsuperablesas.com;3156689226;Presencial / No especificado;1;10;10.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);15/09/2026
99;AVIA MARKETING S.A.S.;830114005;Bogota D.C.;Bogota D. C.;Nicol Forero;nicol.forero@aviatur.com;3176569075;Presencial / No especificado;1;10;10.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/08/2026
100;CLOUDBLUE SERVICES SAS;901422713;Bogota D.C.;Bogota D. C.;EDNNA ARANDA;ednna.aranda@nespon.com;3214063656;Presencial / No especificado;1;11;11.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
101;TRANSPORTES SUPERIOR S. A. S;800234281;Antioquia;Medellin;Sebastian Lozano Ortega;auxtalentohumano@transuperior.com;3135534223;Presencial / No especificado;1;12;12.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);15/09/2026
102;NUTRIUM S.A.S.;821000169;Antioquia;Medellin;Daniel Muñoz;pracghnut@nutrium.co;3004120011;Presencial / No especificado;1;13;13.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);12/09/2026
103;CAM COLOMBIA MULTISERVICIOS S.A.S - CAM MULTISERVICIOS;830058272;Bogota D.C.;Bogota D. C.;Laura Castro;laura.castrov@equans.com;3108016077;Presencial / No especificado;2;33;16.5;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/09/2026
104;LABORATORIOS OSA S.A.S;900330855;Valle;Cali;Johanna Isabel Huertas;seleccion.bienestar@laboratoriososa.com.co;3102423007;Presencial / No especificado;1;17;17.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);12/12/2026
105;S L RESEARCH COLOMBIA S.A.S.;830133183;Bogota D.C.;Bogota D. C.;TATI HERRERA;gestionhumana@slig.co;3183351994;Presencial;1;20;20.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);28/08/2026
106;RUITOQUE S.A. E.S.P.;804001062;Santander;Bucaramanga;3123001613;mbarreto@ruitoqueenergia.com;3123001613;Presencial / No especificado;1;20;20.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/08/2026
107;ONNET FIBRA COLOMBIA SAS;901537409;Bogota D.C.;Bogota D. C.;Jeniffer Rodriguez;jeniffer.rodriguez@onnetfibra.co;3153041794;Presencial / No especificado;1;23;23.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);26/08/2026
108;ALTO COLOMBIA SAS;900250454;Bogota D.C.;Bogota D. C.;ISABEL MANRIQUE;eacuna@altocolombia.com.co;320 2456626;Presencial / No especificado;1;30;30.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);26/08/2026
109;AUTOMATION ANYWHERE COLOMBIA SAS;901897686;Bogota D.C.;Bogota D. C.;Ana Ripe;ana.ripe@automationanywhere.com;3132560584;Presencial / No especificado;1;33;33.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
110;GLOBAL CONNECT SOLUTIONS SAS;901738829;Santander;Bucaramanga;Yesika Alejandra Leon Fontecha;hr@gcshelps.com;3115286728;Presencial / No especificado;1;36;36.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
111;AIR - E S.A.S. E.S.P.;901380930;Atlantico;Barranquilla;Luisa Fernanda Gomez;luisa.gomez@gmail.com;3212203121;Presencial / No especificado;1;45;45.0;Tier 2 · Sistemas Corporativos & Alta Escala;86;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
112;GREEN SQA S.A.S.;900074458;Valle;Cali;SEBASTIAN SALAMANCA;ssalamanca@greensqa.com;318 8107609;Presencial / No especificado;3;6;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/09/2026
113;GESTION DE SEGURIDAD ELECTRONICA S.A - GSE SA;900204272;Boyaca;Tunja;Karen Rodriguez;karenj.rodriguez@gse.com.co;3102067037;Presencial / No especificado;10;28;2.8;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
114;SOCIEDAD DE SERVICIOS OCULARES S.A.S;800119574;Boyaca;Tunja;Nayeli Torres;gestionhumana@optisalud.com;3138075680;Presencial / No especificado;1;3;3.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);04/09/2026
115;TECMOVIL GROUP S.A.S;901198879;Huila;Neiva;VANESSA CRUZ;tecmovilgestionhumana@gmail.com;3143021420;Presencial / No especificado;1;4;4.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);28/08/2026
116;AGESO S.A.S. ASESORIAS EN GERENCIA Y SALUD OCUPACIONAL;807001777;Norte De Santander;Cucuta;VANESSA OSPINA;jefeadministrativo@ageso.co;5748874;Presencial / No especificado;1;5;5.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/08/2026
117;VC@SOFT S A S;830086348;Caldas;Manizales;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;5;5.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
118;FUNDACION UNIVERSIDAD EXTERNADO DE COLOMBIA;860014918;Bogota D.C.;Bogota D. C.;Nathalia Mendoza;auxiliardesarrollo2@uexternado.edu.co;2826066;Presencial / No especificado;2;11;5.5;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);04/09/2026
119;CALL PROCESSING TECHNOLOGIES S A - CALLTECH S A;830045792;Bogota D.C.;Bogota D. C.;JOHANNA PARDO;recursoshumanos@calltechsa.com;3208658226;Remoto;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
120;MAKITA COLOMBIA S.A.;900223935;Cundinamarca;Mosquera;lesly forero;lesly.forero@makita.com.co;6017429245;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
121;VC@SOFT S A S;830086348;Cundinamarca;Soacha;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/11/2026
122;LEAL COLOMBIA S A S;900931706;Bogota D.C.;Bogota D. C.;Nicolas Rozo;nfrozo@leal.co;300989000;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/08/2026
123;CINTE COLOMBIA SAS;900507611;Bogota D.C.;Bogota D. C.;MONICA BOLIVAR;mbolivar@grupocinte.com;000;Presencial / No especificado;2;13;6.5;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);14/09/2026
124;VC@SOFT S A S;830086348;Valle;Cali;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
125;VC@SOFT S A S;830086348;Santander;Bucaramanga;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/11/2026
126;FONDO NACIONAL ECONOMICO DEL PARTIDO CONSERVADOR COLOMBIANO;860040485;Bogota D.C.;Bogota D. C.;1;talentohumano@partidoconservador.org;6016662070;Presencial / No especificado;3;23;7.67;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
127;TKARGA S.A.S.;830128459;Cundinamarca;Tocancipa;Angie Lopez;contratacion.grupotk@tkarga.com;8596995;Presencial / No especificado;1;8;8.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/01/2027
128;VC@SOFT S A S;830086348;Tolima;Ibague;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;8;8.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
129;EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS S.A. - VECOL S.A.;899999002;Bogota D.C.;Bogota D. C.;Alisson Daniela Perez;vecol@vecol.com.co;6014254800;Presencial / No especificado;2;17;8.5;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
130;EMPRESA DE TRANSPORTE INTEGRADO DE BOGOTA SAS;900365651;Bogota D.C.;Bogota D. C.;Adriana Santamaria;psicologo1@etib.com.co;5082121;Presencial / No especificado;3;30;10.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
131;VC@SOFT S A S;830086348;Norte De Santander;Cucuta;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;10;10.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/11/2026
132;VC@SOFT S A S;830086348;Antioquia;Medellin;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;15;15.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
133;VC@SOFT S A S;830086348;Quindio;Armenia;Valeria Oyone;voyone@mail.vc-soft.com;6219348;Presencial / No especificado;1;21;21.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
134;E2 ENERGIA EFICIENTE S.A. E.S.P.;802025052;Atlantico;Barranquilla;Johana Bonett;omejia@e2energiaeficiente.com;6054010968;Presencial / No especificado;1;23;23.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
135;INTEXUS S.A.S;830032436;Bogota D.C.;Bogota D. C.;SEBASTIAN ZAMBRANO;jzambrano@intexus.la;3790324;Presencial / No especificado;1;65;65.0;Tier 2 · Sistemas Corporativos & Alta Escala;85;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
136;TRAVEL CLUB SAS - BCD TRAVEL;800078692;Bogota D.C.;Bogota D. C.;ANGELICA VARGAS;angelica.vargas@bcdtravel.com;7956000;Presencial / No especificado;6;7;1.17;Tier 2 · Sistemas Corporativos & Alta Escala;84;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
137;CENTROAGUAS S.A. E.S.P.;821002115;Valle;Tulua;JUAN CARLOS VÉLEZ FORERO;gestionhumana@centroaguas.com;2317300;Presencial / No especificado;1;2;2.0;Tier 2 · Sistemas Corporativos & Alta Escala;84;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);02/10/2026
138;FINLECO B P O S.A.S.;900342562;Bogota D.C.;Bogota D. C.;KATERINE ABELLA;gestionhumana@finlecobpo.com;3134911596;Presencial / No especificado;1;5;5.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
139;PUNTO RED TELECOMUNICACIONES S.A.S;900637681;Meta;Granada;3144633964;julietasalgado@hotmail.es;3144633964;Presencial / No especificado;1;5;5.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
140;CENTRAL DE INVERSIONES S.A. - CISA;860042945;Bogota D.C.;Bogota D. C.;Jhon Prieto;jjprieto@cisa.gov.co;3143062998;Presencial / No especificado;1;5;5.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/08/2026
141;IMAGINE CX SAS;900873108;Bogota D.C.;Bogota D. C.;ALEXANDRA BRITO;admin@imaginecx.co;3163796015;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
142;PROCESADOS MARGARITA SAS;900509538;Bogota D.C.;Bogota D. C.;karol natalia toledo pulido;asuntossgsst@gmail.com;3058720856;Presencial / No especificado;1;6;6.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);01/10/2026
143;SUPPORTICAL SAS;900146314;Bogota D.C.;Bogota D. C.;Tatiana Cortes;tatiana.cortes@supportical.com;3214119055;Presencial / No especificado;2;13;6.5;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);15/09/2026
